RamanShift (cm-1)	00:00:27	00:01:30	00:02:00	00:02:30	00:03:00	00:03:30	00:04:00	00:04:30	00:05:00	00:05:30	00:06:00	00:06:30	00:07:00	00:07:30	00:08:00	00:08:30	00:09:00	00:09:30	00:10:00	00:10:30	00:11:00	00:11:30	00:12:00	00:12:30	00:13:00	00:13:30	00:14:00	00:14:30	00:15:00	00:15:30	00:16:00	00:16:30	00:17:00	00:17:30
3377.0000	4176.46292800	5013.79415102	3657.85126337	3722.30122123	3813.36778067	4324.84495477	4122.32806150	4314.58063018	4537.66055314	4883.09112550	4757.10727510	4425.26465759	3680.08779053	4436.52638110	3808.70371421	4395.03334194	4374.65339697	4423.10999928	4856.58552730	3838.90753025	3888.21679740	4787.70744045	4376.16694806	4673.96291304	4247.19393116	3380.00249640	4582.72792466	3788.94470091	3897.09385566	3603.87303700	4363.77556451	5063.81988695	5134.67651359	4062.25766004
3376.0000	3659.97390163	4971.60986500	3897.20439339	3751.06208417	3903.00918509	4347.38534871	4041.27542835	3794.67513185	4717.50845383	5156.34140961	4818.46457531	4264.00107170	3178.63051712	4442.40108457	3920.19882443	3981.47386589	4890.78520462	4817.45818993	4747.37291395	4203.34677849	3506.85930745	5195.70672367	4674.02798619	4260.81242398	4105.45965444	3904.79124387	4245.11758664	3588.07903423	4073.21994985	3948.08117816	4131.84779122	5171.93382039	4932.51144886	3757.03660483
3375.0000	4150.85885454	4838.06975795	4416.32698848	4259.56562797	4765.54785107	4821.72184763	4515.88028433	4253.70721368	4935.87905462	5396.09713243	5087.56631228	4469.60035457	3437.68062480	5078.58042840	4563.01499428	4261.13648091	5696.23829745	5089.84199415	5083.93273124	4977.47679041	3995.36337739	5750.18730171	4932.12562426	4465.53502647	4414.04315783	4717.83854874	4567.06081461	3851.06171380	4418.80456405	4366.70168881	4718.28003555	5345.39598504	5188.35145993	3803.59639946
3374.0000	4867.26839104	4621.48043767	4562.22558589	4593.53703089	5091.91922150	5328.74018072	4840.13294688	5131.50573426	5029.58342002	5269.05591871	5139.88244170	4492.24164287	4164.62798971	5335.66934169	5042.35385943	4427.33759776	5653.57872433	4905.30532299	5247.02904753	5081.53133958	4801.32191864	5902.54323369	5218.15504319	4893.66032531	4635.37930557	5132.24917277	4973.04444168	4009.32632321	4430.76992603	4369.07029797	5217.31068827	5308.61313523	5352.48008040	4014.35403833
3373.0000	4882.27662041	4587.91444093	4439.68409930	4398.45861723	4492.22523790	5141.87168960	4770.77581649	5300.66956350	4772.52656583	5053.54476205	4959.80190959	4175.32291951	5045.26509399	5177.98534155	4821.26247323	4202.29315517	4700.34904836	4440.31453539	4894.03879439	4737.68273330	4826.10412926	5343.95801457	5160.42048770	4886.38091142	4265.97690384	5039.89770591	5245.33619541	3766.14546413	4207.03060392	4326.03560206	4837.21128216	5079.76620035	4947.50261227	4319.43281102
3372.0000	4245.51525898	4427.84651798	4300.50383006	3914.84926376	3802.46608551	4467.21702507	4525.33914124	4898.50514765	4254.81829533	4828.65229740	4806.85244650	3558.08243299	5363.54767749	5084.45998591	4152.38134127	4097.89813641	3835.53475236	3997.24842564	4178.60360967	4539.11158416	4272.55339958	4453.02295362	4411.73199848	4166.00680098	3640.60134708	4495.84546718	5120.57485222	3292.79317185	3705.84918579	4344.53775765	3973.03698133	4875.61381496	4144.89188331	4566.66282907
3371.0000	3584.52045117	3767.36172985	4300.39946394	3727.14584983	3640.58672028	4068.79196209	4094.57326833	4557.96477911	4102.01225961	4231.73599708	4691.51399174	2952.68024380	4685.62074087	4826.27496054	3531.25644503	4208.19733087	3550.63630766	3635.99837618	3536.51147375	4377.30615188	3899.16673542	3541.59575999	3546.16381591	3198.31623028	3172.07664538	3902.03755926	4151.09289868	2710.66093433	2993.50882147	3922.63600201	3433.99914080	4669.27201868	3572.05069686	4548.93799209
3370.0000	3562.59147371	3246.82207164	4506.03107022	4010.52588478	3961.36030825	4102.53289209	3639.59959372	4343.72874829	4461.68961742	3586.07477067	4440.00037370	3065.44783188	3884.12821487	4335.52413774	3246.84991874	4195.40835131	3708.80058300	3449.70495796	3404.37784789	4195.57182866	3585.74749054	3104.74067183	3566.18553862	3011.25579680	2998.65013041	3855.08532676	3079.54575371	2404.09520534	2755.06792533	3496.84249923	3404.51759241	4443.88910711	3555.90775594	4341.42878082
3369.0000	4296.32626229	3716.28529120	4739.30238771	4339.15013949	4326.11784000	4350.87575149	3549.16311491	4257.47958351	4683.44459877	3620.74363747	4359.87135200	3747.25444439	3777.43015969	4251.33889077	3434.60327534	4114.51594863	4090.33490005	3773.60616013	3844.25058694	4268.14506210	3251.42423972	3954.59067054	4391.88654368	3778.27228412	3091.92543950	4239.44563365	3088.56271768	3074.47741342	3238.82646761	3740.17056471	3659.88607364	4533.18790863	3928.03660608	4215.93198461
3368.0000	4811.21131960	4659.43921551	4725.44119353	4287.88462451	4372.75650731	4626.46229948	3672.84592842	4386.80962418	4429.11066743	4200.80973722	4811.28779923	4138.47424155	4033.49821189	4668.43752835	3873.19730122	4231.59198263	4350.95875577	4607.84383545	4351.10818009	4492.46755140	3321.27736142	5343.35624044	4962.01947822	4492.31887696	3267.55046383	4481.45900182	3841.22479361	4219.28256928	3804.38483940	3898.59191995	3891.39574396	4990.36063374	4271.08541910	4304.60255977
3367.0000	4597.97471083	5012.29819539	4671.18643942	4087.39494875	4299.24533370	4816.35256103	3886.51462081	4778.66807588	4207.92531947	4770.36896590	5243.79088437	4418.30384608	4415.97803716	5045.18318186	4159.35531901	4604.90686595	4354.47468637	5434.85716190	4559.71639440	4674.17234100	3733.50168278	5650.98666504	5023.29160862	4688.88502540	3642.23508934	4599.69740662	4354.54337158	4626.76982032	4193.90426204	3680.63594199	3960.81937042	5234.76793285	4326.11858567	4642.78583684
3366.0000	4341.37449783	4685.46036074	4849.55460343	4045.28566519	4297.95650390	4890.62569840	4363.73637553	5250.72892302	4374.02751793	5099.30796359	4874.37607392	4837.11312435	4748.75490014	5016.64334049	4188.28579658	4776.11559818	4071.66300721	5637.07575588	4575.04997607	4817.11628440	4011.90123866	4983.01493691	5031.70262233	4652.60608377	4126.72460622	4794.67607601	4331.40864508	4310.94756094	4535.87317608	4071.45199178	3944.12088470	4859.94084489	4211.98659658	4930.58035551
3365.0000	4101.57659129	3976.31719399	4728.59219056	3810.37501067	4218.82829137	4740.78028201	4608.61058655	5165.87610587	4407.31502391	5031.47854548	3975.44750761	4510.52311533	4426.61250254	4467.32455105	4012.45725592	4276.65056616	3400.25787615	4987.62986340	4235.09506090	4634.39666164	4027.64795500	4226.03585144	4773.77549762	4174.62605202	4054.47875192	4740.05598748	3790.61904137	3801.48494517	4551.73803335	4787.35696179	3770.71183389	4240.57905855	4125.43016431	4623.89520018
