

, Lambda = 10000.0, Ratio = 0.05, Itermax = 10
RamanShift (cm-1)	00:00:27	00:01:30	00:02:00	00:02:30	00:03:00	00:03:30	00:04:00	00:04:30	00:05:00	00:05:30	00:06:00	00:06:30	00:07:00	00:07:30	00:08:00	00:08:30	00:09:00	00:09:30	00:10:00	00:10:30	00:11:00	00:11:30	00:12:00	00:12:30	00:13:00	00:13:30	00:14:00	00:14:30	00:15:00	00:15:30	00:16:00	00:16:30	00:17:00	00:17:30
3.3800000e+03	1.7667301e+03	1.6312676e+03	1.6259623e+03	5.7322287e+02	2.8029363e+03	2.0509832e+03	2.0248126e+03	2.1852158e+03	6.1995182e+02	1.2366418e+03	9.4749500e+02	1.3960893e+03	1.8523650e+03	1.7566190e+03	1.4226019e+03	2.8525394e+03	2.1231047e+03	1.8440703e+03	1.7171445e+03	1.2593184e+03	1.9206124e+03	1.1600703e+03	8.9747851e+02	1.3027979e+03	1.7845957e+03	1.4682583e+03	1.8976145e+03	2.5518443e+03	1.0153589e+03	1.1281779e+03	3.0064336e+03	1.5538539e+03	1.8460511e+03	2.0785931e+03
3.3790000e+03	2.5114327e+03	2.1411071e+03	1.9203231e+03	8.1727691e+02	2.7987476e+03	2.2647641e+03	2.1927353e+03	2.5768876e+03	8.7531318e+02	1.6198139e+03	1.6142965e+03	2.0387779e+03	2.4395360e+03	2.5882162e+03	1.5387544e+03	3.3979255e+03	2.6059841e+03	1.9480331e+03	2.2060451e+03	1.6624652e+03	2.1215989e+03	1.5292425e+03	1.0837144e+03	1.7419180e+03	1.9979237e+03	1.6011055e+03	2.2578534e+03	2.7258938e+03	1.6794078e+03	1.3828694e+03	3.1187899e+03	2.0710736e+03	2.4548026e+03	2.5225516e+03
3.3780000e+03	2.1307077e+03	2.1757033e+03	1.0925401e+03	1.5091403e+02	1.9717851e+03	1.7940217e+03	1.6495499e+03	2.4246527e+03	1.0151980e+03	1.5774401e+03	1.6599269e+03	1.9652487e+03	1.9143886e+03	2.2490224e+03	9.9607302e+02	2.5405621e+03	2.4331614e+03	1.3672290e+03	2.1507854e+03	1.2298128e+03	1.8780144e+03	1.5943282e+03	1.1310474e+03	1.9791257e+03	1.9433661e+03	9.2977202e+02	2.1461220e+03	2.0739842e+03	1.5129328e+03	8.9364497e+02	2.1902018e+03	2.1608031e+03	2.2789315e+03	2.0454853e+03
3.3770000e+03	1.0626351e+03	2.0059280e+03	3.7056408e+02	-5.6821835e+02	1.0919419e+03	1.4192642e+03	9.3359273e+02	1.7454795e+03	1.0570912e+03	1.5259640e+03	1.3810070e+03	1.4451063e+03	8.6113954e+02	1.4126096e+03	5.0117451e+02	1.3740120e+03	2.2429893e+03	1.2102778e+03	1.6468440e+03	6.2430616e+02	1.2533269e+03	1.6936333e+03	1.3754319e+03	1.5772386e+03	1.6349048e+03	5.0302334e+02	1.4507910e+03	1.3152893e+03	1.1013334e+03	5.6581460e+02	1.1793309e+03	2.1089760e+03	1.6910989e+03	1.3454914e+03
3.3760000e+03	5.1718708e+02	1.9375291e+03	5.9486520e+02	-5.5237341e+02	1.1491405e+03	1.4144096e+03	8.1752712e+02	1.1978951e+03	1.2096726e+03	1.7729077e+03	1.4298348e+03	1.2702309e+03	3.3253989e+02	1.3862230e+03	5.9604324e+02	9.3234261e+02	2.7330311e+03	1.5810381e+03	1.5080495e+03	9.6619976e+02	8.4666085e+02	2.0847438e+03	1.6549994e+03	1.1551110e+03	1.4690263e+03	9.9691108e+02	1.1070754e+03	1.0840656e+03	1.2569677e+03	8.8329736e+02	9.3348411e+02	2.1981334e+03	1.4717797e+03	1.0088753e+03
3.3750000e+03	9.7934396e+02	1.7778574e+03	1.0990528e+03	-5.7593856e+01	1.9794875e+03	1.8614153e+03	1.2574991e+03	1.6292980e+03	1.4010407e+03	1.9864917e+03	1.6861840e+03	1.4621369e+03	5.6451439e+02	1.9902745e+03	1.2222196e+03	1.1840179e+03	3.5124003e+03	1.8298303e+03	1.8153625e+03	1.7179303e+03	1.3099095e+03	2.6222956e+03	1.8948623e+03	1.3507366e+03	1.7535309e+03	1.7792710e+03	1.4227671e+03	1.3166587e+03	1.5820163e+03	1.2754397e+03	1.5061648e+03	2.3526216e+03	1.7105291e+03	1.0241067e+03
3.3740000e+03	1.6672829e+03	1.5352307e+03	1.2301347e+03	2.6179436e+02	2.2739270e+03	2.3411772e+03	1.5475213e+03	2.4795249e+03	1.4680191e+03	1.8334326e+03	1.7255358e+03	1.4709993e+03	1.2644639e+03	2.2153848e+03	1.6849081e+03	1.3223625e+03	3.4436645e+03	1.6217162e+03	1.9495662e+03	1.7997430e+03	2.0906730e+03	2.7576793e+03	2.1627260e+03	1.7696448e+03	1.9508619e+03	2.1632170e+03	1.8223432e+03	1.4444980e+03	1.5733991e+03	1.2515864e+03	1.9916219e+03	2.2968515e+03	1.8576347e+03	1.2036133e+03
3.3730000e+03	1.6541047e+03	1.4757325e+03	1.0928962e+03	5.1228214e+01	1.6425697e+03	2.1271372e+03	1.4443585e+03	2.6211820e+03	1.1845256e+03	1.5920764e+03	1.5322907e+03	1.1402121e+03	2.1181917e+03	2.0258870e+03	1.4471589e+03	1.0696004e+03	2.4643677e+03	1.1331802e+03	1.5680567e+03	1.4338217e+03	2.0903277e+03	2.1820752e+03	2.0869051e+03	1.7530277e+03	1.5575369e+03	2.0406325e+03	2.0880618e+03	1.1708519e+03	1.3290286e+03	1.1825948e+03	1.5981378e+03	2.0490082e+03	1.4357057e+03	1.4775289e+03
3.3720000e+03	9.8946761e+02	1.2898490e+03	9.3914001e+02	-4.4884498e+02	9.2142461e+02	1.4254062e+03	1.1655636e+03	2.1915835e+03	6.4068270e+02	1.3415308e+03	1.3659876e+03	5.0900972e+02	2.4096646e+03	1.9007282e+03	7.6161548e+02	9.3763471e+02	1.5734969e+03	6.6661891e+02	8.2449499e+02	1.2133584e+03	1.5117243e+03	1.2740715e+03	1.3202199e+03	1.0231949e+03	9.0832980e+02	1.4665879e+03	1.9565520e+03	6.6699003e+02	8.0716492e+02	1.1754140e+03	7.2077814e+02	1.8258544e+03	6.1621868e+02	1.6936942e+03
3.3710000e+03	3.0093435e+02	6.0367627e+02	9.2458219e+02	-6.5406499e+02	7.2844527e+02	1.0000104e+03	7.0190906e+02	1.8236892e+03	4.6205682e+02	7.1917225e+02	1.2371179e+03	-1.1045190e+02	1.7050385e+03	1.6111059e+03	1.2382681e+02	1.0205184e+03	1.2625541e+03	2.8194180e+02	1.5468821e+02	1.0298529e+03	1.1133671e+03	3.4552259e+02	4.3675504e+02	4.5924347e+01	4.1607329e+02	8.4303730e+02	9.8013664e+02	5.4299697e+01	7.4089030e+01	7.2811230e+02	1.6876499e+02	1.6005104e+03	2.6580423e+01	1.6450138e+03
3.3700000e+03	2.5183080e+02	5.7587513e+01	1.1158842e+03	-3.8928611e+02	1.0184136e+03	1.0068966e+03	2.1453884e+02	1.5821870e+03	7.9624181e+02	4.8298772e+01	9.7190686e+02	-1.1845246e+01	8.7696833e+02	1.0891295e+03	-1.7724199e+02	9.8047720e+02	1.3946877e+03	7.2307341e+01	-4.7289104e+00	8.2662204e+02	7.7506646e+02	-1.0851057e+02	4.3899037e+02	-1.5083775e+02	2.1902331e+02	7.6660104e+02	-9.8538628e+01	-2.8287692e+02	-1.8514295e+02	2.7721066e+02	1.2652879e+02	1.3561284e+03	-6.2764819e+00	1.4066688e+03
3.3690000e+03	9.5878149e+02	5.0165166e+02	1.3349510e+03	-8.0313933e+01	1.3526694e+03	1.2285110e+03	9.2220305e+01	1.4687670e+03	9.9284463e+02	5.8004368e+01	8.7792552e+02	6.5570601e+02	7.4382499e+02	9.7394611e+02	-6.1531195e+00	8.7250400e+02	1.7502064e+03	3.7297149e+02	4.0830818e+02	8.7791378e+02	4.1595837e+02	7.2410178e+02	1.2470256e+03	6.0635046e+02	2.8879212e+02	1.1217450e+03	-9.6854158e+01	3.5683232e+02	2.7775955e+02	4.9573135e+02	3.6936989e+02	1.4264355e+03	3.4922282e+02	1.2504665e+03
3.3680000e+03	1.4472994e+03	1.4195623e+03	1.3070120e+03	-1.5220990e+02	1.3691184e+03	1.4775058e+03	1.8455773e+02	1.5710292e+03	7.1371147e+02	6.1337053e+02	1.3153462e+03	1.0325843e+03	9.7359110e+02	1.3602896e+03	4.1578819e+02	9.6267881e+02	1.9848314e+03	1.1840870e+03	8.8879513e+02	1.0811813e+03	4.6113039e+02	2.0955777e+03	1.7996237e+03	1.3104523e+03	4.4103313e+02	1.3348186e+03	6.4827122e+02	1.4709214e+03	8.2240604e+02	6.2965477e+02	5.8857506e+02	1.8646280e+03	6.7572845e+02	1.3085725e+03
3.3670000e+03	1.2081391e+03	1.7473397e+03	1.2388072e+03	-3.7422781e+02	1.2657386e+03	1.6409514e+03	3.6743126e+02	1.9359303e+03	4.6809253e+02	1.1585020e+03	1.7337213e+03	1.2979944e+03	1.3299233e+03	1.7065388e+03	6.8531988e+02	1.3092802e+03	1.9623665e+03	1.9881040e+03	1.0715149e+03	1.2420690e+03	8.4878458e+02	2.3858742e+03	1.8435022e+03	1.4969675e+03	7.9246165e+02	1.4244030e+03	1.1538588e+03	1.8476686e+03	1.1909669e+03	3.8751900e+02	6.4591269e+02	2.0900708e+03	7.1430673e+02	1.6163427e+03
3.3660000e+03	9.2608500e+02	1.3955876e+03	1.4033547e+03	-4.3866732e+02	1.2349106e+03	1.6889373e+03	8.1442050e+02	2.3811520e+03	6.1013951e+02	1.4632944e+03	1.3500579e+03	1.7023145e+03	1.6367177e+03	1.6477768e+03	6.9766503e+02	1.4539712e+03	1.6535938e+03	2.1674629e+03	1.0614594e+03	1.3644454e+03	1.1027322e+03	1.7005317e+03	1.8346711e+03	1.4505414e+03	1.2538284e+03	1.5910223e+03	1.1228085e+03	1.5011012e+03	1.5119396e+03	7.5448208e+02	6.1734233e+02	1.6962988e+03	5.8381010e+02	1.8738864e+03
3.3650000e+03	6.6132962e+02	6.6170344e+02	1.2687023e+03	-6.9657695e+02	1.1265817e+03	1.5129724e+03	1.0296373e+03	2.2695858e+03	6.1976289e+02	1.3716082e+03	4.3677125e+02	1.3611738e+03	1.2887690e+03	1.0685258e+03	5.0530676e+02	9.2819245e+02	9.5624873e+02	1.4953049e+03	6.9663196e+02	1.1614191e+03	1.0941524e+03	9.2615277e+02	1.5596637e+03	9.6232834e+02	1.1585986e+03	1.5083465e+03	5.7392873e+02	9.6090746e+02	1.5067797e+03	1.4468696e+03	4.3227116e+02	1.0580161e+03	4.8098120e+02	1.5371231e+03
3.3640000e+03	2.0306422e+02	1.6361585e+01	6.5801016e+02	-1.0188342e+03	1.1985553e+03	1.2847453e+03	7.2817518e+02	1.6757013e+03	2.8455692e+02	1.0987315e+03	2.8697433e+01	4.5179764e+02	6.8727047e+02	4.6051034e+02	2.5588787e+02	4.9805083e+02	5.3352646e+02	5.9105321e+02	1.0764223e+02	7.3107528e+02	1.1753445e+03	4.1812311e+02	9.8330253e+02	1.9150144e+02	8.2665879e+02	1.1611364e+03	6.3550094e+01	6.2782488e+02	1.2493037e+03	1.4190596e+03	1.8697176e+02	9.6211676e+02	5.8032025e+02	1.0420716e+03
3.3630000e+03	1.2538729e+02	2.9895747e+02	5.6241436e+02	-6.6764510e+02	1.6090095e+03	1.3117449e+03	6.6620150e+02	1.6251035e+03	1.9240852e+02	1.2296512e+03	5.1197333e+02	3.9849970e+02	7.2193994e+02	6.2996864e+02	2.8680851e+02	1.0471817e+03	1.1012890e+03	2.9156064e+02	1.3082561e+02	8.8365620e+02	1.6210816e+03	6.2040405e+02	8.6993642e+02	2.9944659e+01	1.2722527e+03	1.1678834e+03	3.7529128e+02	1.0876698e+03	1.1892430e+03	1.1525604e+03	2.1790926e+02	1.6178154e+03	8.6449634e+02	1.2656841e+03
3.3620000e+03	3.7340218e+02	1.2531242e+03	1.2927378e+03	4.6780858e+01	1.6716728e+03	1.3560170e+03	1.0199997e+03	2.1273707e+03	4.0444292e+02	1.6040011e+03	1.1882963e+03	1.1747488e+03	1.0345998e+03	1.3940299e+03	7.0096475e+02	1.8019965e+03	2.0213707e+03	6.1436070e+02	7.8661467e+02	1.5875478e+03	2.0468854e+03	1.3297484e+03	1.2013507e+03	3.6569523e+02	2.0840526e+03	1.6505923e+03	1.0550351e+03	2.0223092e+03	1.2187178e+03	1.3914159e+03	5.1509170e+02	2.2178804e+03	1.0167847e+03	1.6496268e+03
3.3610000e+03	4.0218225e+02	1.6630436e+03	1.8946193e+03	4.4744370e+02	1.2845425e+03	1.3461836e+03	1.1730610e+03	2.3605569e+03	5.3287780e+02	1.6473474e+03	1.4251676e+03	1.8192142e+03	1.1957294e+03	1.9489177e+03	1.2840844e+03	1.8902312e+03	2.5143293e+03	1.1984617e+03	1.4009826e+03	1.8851766e+03	2.0924196e+03	1.5740965e+03	1.2639489e+03	6.4603225e+02	2.3823207e+03	2.0094075e+03	1.1945538e+03	2.4956379e+03	1.1984765e+03	1.6464054e+03	1.0737862e+03	2.1029001e+03	1.0804825e+03	1.4480070e+03
3.3600000e+03	4.1426201e+02	1.2797287e+03	1.8806289e+03	7.3188351e+02	1.2127770e+03	1.5184621e+03	1.0860915e+03	2.4063395e+03	7.0084955e+02	1.6659451e+03	1.3819179e+03	2.2312085e+03	1.5409312e+03	2.1212707e+03	1.7138117e+03	1.7563069e+03	2.6675694e+03	1.8161152e+03	1.7889278e+03	1.5845002e+03	2.0384320e+03	1.3064084e+03	1.1863229e+03	1.1269520e+03	2.4198561e+03	1.8904199e+03	9.6505657e+02	2.4113971e+03	1.2406985e+03	1.3651556e+03	1.7956563e+03	1.6949718e+03	1.2362040e+03	1.3583255e+03
