q,I,I_baseline,I_diff
2.5611363,26.795984,22.956135414815737,3.8398485851842636
2.5829427,27.932556,23.84722116169159,4.0853348383084125
2.6047492,29.102926,24.73044215059038,4.372483849409619
2.6265557,29.985418,25.604391011957443,4.3810269880425565
2.6483622,31.049709,26.46766038450046,4.5820486154995415
2.6701687,32.110466,27.31884292024099,4.791623079759013
2.6919751,32.87991,28.156531275059628,4.723378724940375
2.7137816,33.919632,28.97931810575098,4.9403138942490195
2.7355881,35.00211,29.78579607099364,5.216313929006361
2.7573946,35.844727,30.574557829790805,5.2701691702091935
2.7792011,36.488415,31.344196041175874,5.14421895882413
2.8010075,36.800919,32.09330336419783,4.707615635802171
2.822814,37.366863,32.82047245793723,4.546390542062774
2.8446205,37.660496,33.524295982210084,4.136200017789918
2.866427,38.038868,34.203366598399136,3.8355014016008653
